,n_cluster,label,S_Dbw
0,2,0,2.9629069634479728
1,2,1,2.943051857202485
2,2,2,2.9944178705851336
3,2,3,2.980114607013962
4,2,4,2.9940813310664876
5,2,5,2.9623640270363496
6,2,6,2.9419650885512385
7,2,7,2.9945727118986887
8,2,8,2.9426685840261695
9,2,9,2.9619552940525313
10,2,10,2.9619715889220863
11,2,11,2.9145006738041377
12,2,12,2.9622401966668326
13,2,13,2.9942320954417427
14,2,14,2.994504920756727
15,2,15,2.9633149119636446
16,2,16,2.9800689390196666
17,2,17,2.913582303824774
18,2,18,2.9944882800798776
19,2,19,2.9814439969046433
20,3,0,2.9318522464106063
21,3,1,2.9774807114410344
22,3,2,2.9618228414303105
23,3,3,2.9317717546212365
24,3,4,2.942623210165223
25,3,5,2.977078406160625
26,3,6,2.961731594028662
27,3,7,2.994592061591204
28,3,8,2.9772980854559528
29,3,9,2.9876220830412263
30,3,10,2.9688468293285766
31,3,11,2.9941657326857847
32,3,12,2.978078904608809
33,3,13,2.967176787439
34,3,14,2.9049840763585006
35,3,15,2.97645965964232
36,3,16,2.8737810854892296
37,3,17,2.9782819063095682
38,3,18,2.8140510397653795
39,3,19,2.956173152030391
40,4,0,2.9324016639206336
41,4,1,2.840162878865674
42,4,2,2.950390319656446
43,4,3,2.960989607396072
44,4,4,2.959352076318192
45,4,5,2.9773150379501603
46,4,6,2.954269484444061
47,4,7,2.969044178739194
48,4,8,2.9178757284571244
49,4,9,2.903208651324757
50,4,10,2.8903515070712564
51,4,11,2.966832818023744
52,4,12,2.918937384977692
53,4,13,2.9713548532495597
54,4,14,2.962579645593486
55,4,15,2.94999663588025
56,4,16,2.9692461227600466
57,4,17,2.9873096062754922
58,4,18,2.9506854645547156
59,4,19,2.885587366766507
60,5,0,2.976477823386685
61,5,1,2.94008094185043
62,5,2,2.8744475836090397
63,5,3,2.9543820691890983
64,5,4,2.9336746997634435
65,5,5,2.9151548542120245
66,5,6,2.948633485831434
67,5,7,2.8872616137495406
68,5,8,2.982882613307646
69,5,9,2.933531579492115
70,5,10,2.9530294501969223
71,5,11,2.9581979631897535
72,5,12,2.9253263041577653
73,5,13,2.9697585343299098
74,5,14,2.990148603058996
75,5,15,2.984220852780886
76,5,16,2.969587577924073
77,5,17,2.9898280068696663
78,5,18,2.94887574153662
79,5,19,2.871675865178892
80,6,0,2.9274150057459725
81,6,1,2.952580949726501
82,6,2,2.979004592208367
83,6,3,2.9540744938042307
84,6,4,2.968534435663785
85,6,5,2.872822077501134
86,6,6,2.9290243480641953
87,6,7,2.8925431054985706
88,6,8,2.839425028524144
89,6,9,2.910262378395169
90,6,10,2.979023923536004
91,6,11,2.862160774174239
92,6,12,2.9545968844897024
93,6,13,2.9344667118401486
94,6,14,2.9102845867172693
95,6,15,2.8387983103853465
96,6,16,2.8949653938441675
97,6,17,2.9561027916354568
98,6,18,2.9346657990704896
99,6,19,2.8952931951877336
100,7,0,2.861441465989298
101,7,1,2.93177361966098
102,7,2,2.9334450524339744
103,7,3,2.905105907417569
104,7,4,2.9720694722110395
105,7,5,2.9447656559009543
106,7,6,2.9125432936008155
107,7,7,2.8851907967816555
108,7,8,2.8771149898082387
109,7,9,2.9342066280356778
110,7,10,2.9219848630909215
111,7,11,2.8916962380379383
112,7,12,2.8653340390987956
113,7,13,2.9010804932970875
114,7,14,2.9603687308905484
115,7,15,2.9288627315760745
116,7,16,2.8851037552575525
117,7,17,2.93118504086237
118,7,18,2.915483901284616
119,7,19,2.9626870129880767
120,8,0,2.8786234225941474
121,8,1,2.8720512701374745
122,8,2,2.914501518415091
123,8,3,2.9735179916017294
124,8,4,2.956896867321363
125,8,5,2.8721343606352256
126,8,6,2.8458508817371047
127,8,7,2.910565249874799
128,8,8,2.891797169772894
129,8,9,2.871873953496905
130,8,10,2.9363662761197844
131,8,11,2.8851426385634014
132,8,12,2.895255861136776
133,8,13,2.940124294502481
134,8,14,2.9292898040491333
135,8,15,2.898251759886262
136,8,16,2.919646259577087
137,8,17,2.7881845971701082
138,8,18,2.8167842997428374
139,8,19,2.900126016304789
