n_cluster,label,S_Dbw,err,std
2,label_0,1.226097132,0.008626729,0.006253484
2,label_1,1.226097132,0.008682872,0.006221957
2,label_2,1.226097132,0.008682872,0.006221957
2,label_3,1.226097132,0.008682872,0.006221957
2,label_4,1.226097132,0.008626729,0.006253484
2,label_5,1.226097132,0.008682872,0.006221957
2,label_6,1.226097132,0.008626729,0.006253484
2,label_7,0.344312192,0.009164102,0.007193107
2,label_8,1.226097132,0.008626729,0.006253484
2,label_9,1.226097132,0.008682872,0.006221957
3,label_0,0.378961594,0.009337215,0.006261069
3,label_1,0.720558765,0.008762222,0.004013321
3,label_2,1.257654565,0.008588008,0.006286316
3,label_3,1.272548699,0.008568627,0.006274432
3,label_4,0.766261206,0.009338677,0.006272147
3,label_5,1.39987885,0.008605977,0.006266935
3,label_6,0.720563808,0.008798302,0.00410762
3,label_7,0.725872906,0.009161183,0.004091817
3,label_8,0.722005492,0.071984242,0.138259679
3,label_9,0.378961594,0.009337215,0.006261069
4,label_0,0.487251817,0.018798851,0.02294744
4,label_1,0.302533501,0.074243121,0.143430937
4,label_2,0.837911839,0.009222435,0.006420697
4,label_3,0.472562033,0.009111606,0.004057189
4,label_4,0.868147351,0.008750056,0.003996156
4,label_5,0.559999508,0.056294814,0.104883971
4,label_6,0.302547563,0.073507929,0.141765923
4,label_7,0.774925488,0.059555732,0.109429592
4,label_8,0.547256592,0.081493523,0.159457517
4,label_9,0.516000702,0.009572804,0.011000501
5,label_0,0.410051633,0.034956183,0.054112845
5,label_1,0.214149285,0.084132943,0.165455948
5,label_2,1.142554612,0.070960826,0.128104369
5,label_3,0.404139801,0.068347996,0.128213174
5,label_4,0.463818063,0.056990656,0.086134235
5,label_5,0.300679594,0.04038064,0.066216535
5,label_6,0.438487973,0.047019254,0.072036834
5,label_7,0.546576383,0.065181665,0.128236508
5,label_8,0.399193962,0.021321694,0.024806945
5,label_9,0.529511569,0.010017319,0.010430051
6,label_0,0.376988139,0.053479518,0.095786982
6,label_1,0.697856163,0.06969319,0.133314337
6,label_2,0.37759517,0.076981273,0.144305748
6,label_3,0.188428963,0.021639452,0.024666546
6,label_4,0.571061038,0.049376624,0.086717113
6,label_5,0.399274201,0.070751894,0.134420023
6,label_6,0.546286953,0.084001119,0.154982712
6,label_7,0.633970094,0.038722491,0.058831732
6,label_8,0.354374642,0.05923593,0.099058354
6,label_9,0.436992528,0.066708853,0.120196384
7,label_0,0.430146462,0.072958469,0.125694331
7,label_1,0.278269354,0.048493076,0.084390471
7,label_2,0.297017283,0.026182708,0.025369383
7,label_3,0.472267192,0.058229108,0.095091537
7,label_4,0.307389101,0.077516031,0.148654799
7,label_5,0.582000758,0.073347923,0.137767902
7,label_6,0.39797562,0.052162797,0.092743752
7,label_7,0.309827816,0.049557823,0.087570785
7,label_8,0.343464002,0.076976252,0.144308918
7,label_9,0.37392443,0.069024788,0.126017064
8,label_0,0.289957838,0.057148585,0.094719095
8,label_1,0.410667309,0.078141385,0.150197206
8,label_2,0.344604081,0.070495647,0.127555916
8,label_3,0.246018681,0.074806964,0.135577358
8,label_4,0.288661879,0.064696884,0.120764309
8,label_5,0.572340658,0.073814166,0.12537135
8,label_6,0.2855491,0.061163418,0.080593272
8,label_7,0.169967425,0.045176087,0.074344045
8,label_8,0.453595676,0.082375572,0.159077337
8,label_9,0.336722487,0.060239096,0.110943546
